feature,mean_abs_correlation,max_abs_correlation
caused_x_disgusted,0.19944813854950658,0.9451131157979059
unpleasant_x_sad,0.19341866062806748,0.9450862181585903
complexity_x_music,0.15740941397310837,0.9449807016264709
pattern_x_texture,0.22165945807602253,0.944913766247018
complexity_x_sound,0.22655560816843262,0.9449038526297638
motion_x_unpleasant,0.22855903137836545,0.9447912256714296
fast_x_unpleasant,0.21857716393898544,0.9447912256714296
touch_x_taste,0.16998711479234108,0.9446543759823043
loud_x_surprised,0.21159966069337888,0.944613467322145
biomotion_x_consequential,0.21949690322193777,0.9443327002489064
body_x_consequential,0.19958987737233772,0.9443327002489064
vision_x_path,0.20484795315747997,0.9441833920937405
