,Property,Thing,Action,max_abs_coefficient
slow_x_duration,0.0,-0.0189636402093139,0.0334321309624541,0.0334321309624541
short_x_caused,-0.0333720058239467,0.0,0.0,0.0333720058239467
human_x_cognition,0.0324391053877531,0.0,-0.0128810699300164,0.0324391053877531
touch_x_drive,0.0,-0.0319113381049553,0.0,0.0319113381049553
near_x_attention,-0.0298950142515449,0.0316608695754006,0.0,0.0316608695754006
pattern_x_shape,-0.0314900984850105,0.0018633515472534,0.0,0.0314900984850105
shape_x_complexity,0.0,0.0130431821870011,-0.0303019282426815,0.0303019282426815
path_x_time,0.0,0.0205738737950578,-0.029246793358325,0.029246793358325
fast_x_short,0.0,0.0246168030811566,-0.0291974098200858,0.0291974098200858
toward_x_self,0.0256203970990842,-0.0289984764091923,0.0,0.0289984764091923
small_x_duration,0.0275426630802669,0.0,-0.0208011833796547,0.0275426630802669
practice_x_social,0.0,0.0266061244238505,-0.0192954952136267,0.0266061244238505
away_x_duration,0.0,0.0260283251357229,0.0,0.0260283251357229
biomotion_x_practice,0.0,-0.0254027505072906,0.0077296355940993,0.0254027505072906
upperlimb_x_short,0.0,0.0214523482719412,-0.0252651049693632,0.0252651049693632
fast_x_duration,0.0,0.0249989405421047,-0.0236184527946212,0.0249989405421047
