feature_1,feature_2,correlation,abs_correlation
low,social,-0.05807644749409318,0.05807644749409318
path,caused,-0.057869330350427434,0.057869330350427434
path,angry,-0.057840486545205606,0.057840486545205606
fast,duration,0.05760693621490972,0.05760693621490972
body,disgusted,0.05751093073223712,0.05751093073223712
practice,number,0.05750113904410481,0.05750113904410481
small,path,-0.05745714928139086,0.05745714928139086
toward,attention,-0.057456744442889354,0.057456744442889354
touch,number,0.05721407012055215,0.05721407012055215
complexity,long,-0.05700610100565709,0.05700610100565709
dark,lowerlimb,-0.05686805594197668,0.05686805594197668
biomotion,angry,0.05684559568279019,0.05684559568279019
speech,upperlimb,0.056843071198542816,0.056843071198542816
touch,path,0.05680124703954032,0.05680124703954032
music,scene,0.056784119548046276,0.056784119548046276
music,path,-0.05670560327226268,0.05670560327226268
scene,attention,-0.056684907072222374,0.056684907072222374
pattern,path,0.05661572782366378,0.05661572782366378
duration,needs,-0.05661383210166136,0.05661383210166136
pain,landmark,-0.056501937883102725,0.056501937883102725
dark,path,0.055973542431835374,0.055973542431835374
toward,unpleasant,-0.055960842688917496,0.055960842688917496
face,long,-0.05593921301728472,0.05593921301728472
color,path,-0.05575333723158155,0.05575333723158155
sound,happy,0.055615464988257445,0.055615464988257445
self,angry,-0.055581948306628236,0.055581948306628236
music,drive,-0.055474520082549265,0.055474520082549265
dark,attention,-0.05522974505884895,0.05522974505884895
high,time,-0.054955376926231994,0.054955376926231994
body,music,-0.05493574463572232,0.05493574463572232
dark,sound,0.05469627583357446,0.05469627583357446
small,biomotion,0.05457605080893899,0.05457605080893899
music,duration,0.05436779301236098,0.05436779301236098
path,social,-0.05424519706569193,0.05424519706569193
head,drive,0.05422676862609017,0.05422676862609017
weight,audition,0.053889795382471725,0.053889795382471725
color,away,-0.053732233337673754,0.053732233337673754
low,landmark,-0.05342481555143103,0.05342481555143103
low,duration,0.05337731766862159,0.05337731766862159
toward,needs,0.05305114186157662,0.05305114186157662
touch,high,0.05270058051688084,0.05270058051688084
sound,pleasant,0.052644541963080244,0.052644541963080244
landmark,number,-0.05263761343742975,0.05263761343742975
face,loud,0.052635040185225954,0.052635040185225954
speech,number,-0.05251050798381441,0.05251050798381441
dark,near,0.052393425695268434,0.052393425695268434
biomotion,surprised,0.05218218898339971,0.05218218898339971
complexity,fearful,0.0521597340908604,0.0521597340908604
pattern,audition,-0.05206366403051971,0.05206366403051971
face,high,0.052043864860656416,0.052043864860656416
large,unpleasant,-0.05184543622614577,0.05184543622614577
body,consequential,0.051837239755201596,0.051837239755201596
small,sound,-0.05178601393456604,0.05178601393456604
music,away,0.05177149901742068,0.05177149901742068
low,unpleasant,0.051586230592931895,0.051586230592931895
away,communication,-0.0515845935469522,0.0515845935469522
body,pleasant,-0.05137057727478613,0.05137057727478613
biomotion,arousal,0.051239475892312376,0.051239475892312376
sound,angry,-0.05117072842051505,0.05117072842051505
temperature,pain,0.050872535754092965,0.050872535754092965
duration,pleasant,0.05080502959687592,0.05080502959687592
scene,needs,0.050647331909689675,0.050647331909689675
head,needs,0.050584157246108166,0.050584157246108166
high,pleasant,0.05057964030758892,0.05057964030758892
face,low,0.050333991757662164,0.050333991757662164
shape,number,0.05017812389394945,0.05017812389394945
complexity,surprised,-0.050035455507863404,0.050035455507863404
path,near,0.05001502463108045,0.05001502463108045
body,landmark,-0.04982477632143134,0.04982477632143134
communication,harm,-0.049822796893600745,0.049822796893600745
touch,head,0.049674699538856934,0.049674699538856934
path,self,0.049474327023536886,0.049474327023536886
audition,benefit,-0.049448904413792655,0.049448904413792655
body,happy,-0.049313207897091135,0.049313207897091135
duration,cognition,0.049255534898885366,0.049255534898885366
face,unpleasant,0.04913354247856055,0.04913354247856055
motion,benefit,-0.048937146113440494,0.048937146113440494
color,fast,0.04886824628895697,0.04886824628895697
music,social,0.04850898984401676,0.04850898984401676
weight,happy,-0.048339947296366065,0.048339947296366065
temperature,fearful,-0.048232189059993616,0.048232189059993616
pain,duration,0.04805859650585908,0.04805859650585908
bright,path,0.04759831267465406,0.04759831267465406
color,music,0.0474497388691896,0.0474497388691896
away,arousal,0.04736088957302901,0.04736088957302901
biomotion,drive,0.04723086481160182,0.04723086481160182
large,time,0.04701501900031109,0.04701501900031109
complexity,time,0.04693686923544723,0.04693686923544723
large,surprised,-0.046676000078148656,0.046676000078148656
music,landmark,-0.0466402216359285,0.0466402216359285
bright,head,-0.04645711843217461,0.04645711843217461
smell,number,-0.04607704639062797,0.04607704639062797
body,toward,0.04552241628170295,0.04552241628170295
large,happy,-0.045218014929515875,0.045218014929515875
human,happy,0.045136534983487776,0.045136534983487776
number,pleasant,-0.044956067745203415,0.044956067745203415
temperature,happy,-0.04488228047652694,0.04488228047652694
texture,needs,0.0448176674873535,0.0448176674873535
music,cognition,-0.04480736617723462,0.04480736617723462
high,caused,-0.044796383256372585,0.044796383256372585
away,number,-0.04475374575122603,0.04475374575122603
sound,toward,0.0447029875666248,0.0447029875666248
toward,benefit,-0.04463797459489071,0.04463797459489071
number,drive,-0.04449994408571861,0.04449994408571861
face,sound,0.04441914053515686,0.04441914053515686
scene,social,0.043768316455611404,0.043768316455611404
loud,disgusted,0.04360854393914074,0.04360854393914074
number,social,-0.04329875557696135,0.04329875557696135
color,high,0.043245883912620076,0.043245883912620076
high,harm,0.042840753715507475,0.042840753715507475
speech,pleasant,-0.04263511985981455,0.04263511985981455
color,sound,0.0426136379186121,0.0426136379186121
short,human,0.04258098827169066,0.04258098827169066
large,number,0.04244390870673595,0.04244390870673595
head,consequential,-0.042377931203763874,0.042377931203763874
loud,happy,-0.042283253105087494,0.042283253105087494
large,needs,-0.042195975132610135,0.042195975132610135
temperature,time,-0.04217517957140387,0.04217517957140387
loud,social,0.041957450506681815,0.041957450506681815
away,social,-0.041874864801097,0.041874864801097
upperlimb,drive,-0.04180976365172298,0.04180976365172298
away,consequential,0.04144996889817924,0.04144996889817924
large,body,-0.0414316651898441,0.0414316651898441
lowerlimb,needs,0.04111876680861481,0.04111876680861481
face,path,-0.040932996622999304,0.040932996622999304
taste,number,-0.04085253069596958,0.04085253069596958
number,caused,-0.04078308205524519,0.04078308205524519
dark,pleasant,-0.040584648531181836,0.040584648531181836
taste,benefit,-0.04042519033381672,0.04042519033381672
biomotion,music,-0.04038623298611003,0.04038623298611003
landmark,human,-0.04035442659655835,0.04035442659655835
landmark,pleasant,0.04019677435003571,0.04019677435003571
vision,head,-0.04019496846598479,0.04019496846598479
dark,audition,-0.04006822922775284,0.04006822922775284
weight,number,0.04004610609136196,0.04004610609136196
music,number,-0.03988899008244419,0.03988899008244419
biomotion,head,0.03986693347036151,0.03986693347036151
fast,time,-0.03976983611639347,0.03976983611639347
consequential,needs,-0.039766030896393016,0.039766030896393016
sound,sad,-0.039726920784903585,0.039726920784903585
large,duration,0.03964198369458633,0.03964198369458633
small,body,-0.03962114874835823,0.03962114874835823
lowerlimb,angry,-0.0396159207012673,0.0396159207012673
pain,cognition,0.03960170510472846,0.03960170510472846
weight,benefit,-0.039582217960798,0.039582217960798
weight,lowerlimb,0.039516310111125615,0.039516310111125615
large,pain,0.03929847433361031,0.03929847433361031
complexity,practice,0.03916566278976143,0.03916566278976143
low,angry,-0.039111474504614344,0.039111474504614344
head,caused,-0.03903506878674737,0.03903506878674737
large,biomotion,0.038765552077298544,0.038765552077298544
slow,number,-0.03865735657753006,0.03865735657753006
speech,time,-0.03864171635128033,0.03864171635128033
time,angry,-0.038517137871113785,0.038517137871113785
landmark,away,-0.038365841558557906,0.038365841558557906
biomotion,landmark,-0.038234989905020424,0.038234989905020424
complexity,toward,0.038002301806106996,0.038002301806106996
landmark,fearful,-0.037799511680753246,0.037799511680753246
head,sad,-0.037512333305730186,0.037512333305730186
away,unpleasant,0.03704730452699389,0.03704730452699389
away,self,0.03693890701419508,0.03693890701419508
small,high,0.03682375939486291,0.03682375939486291
bright,upperlimb,0.036528500345823244,0.036528500345823244
large,benefit,0.036393234404905085,0.036393234404905085
biomotion,sad,-0.03618994486217703,0.03618994486217703
motion,smell,-0.035933330070946255,0.035933330070946255
vision,number,0.03587516239487042,0.03587516239487042
dark,disgusted,0.03580587501137493,0.03580587501137493
biomotion,weight,0.03533540751082162,0.03533540751082162
head,attention,0.03514337216710459,0.03514337216710459
large,near,-0.035097541158159905,0.035097541158159905
head,angry,0.03507622221006024,0.03507622221006024
high,human,-0.035001568917038726,0.035001568917038726
head,surprised,0.034794041701308946,0.034794041701308946
