model,class_raw,class_display,fold,C,l1_ratio,macro_f1_cv
Elastic Net,adjective,Property,4,0.5994842503189409,0.1,0.8973999856352798
Elastic Net,adjective,Property,4,0.5994842503189409,0.3,0.8973999856352798
Elastic Net,adjective,Property,4,0.5994842503189409,0.5,0.9396135265700484
Elastic Net,adjective,Property,4,0.5994842503189409,0.7,0.9396135265700484
Elastic Net,adjective,Property,4,0.5994842503189409,0.9,0.9396135265700484
Elastic Net,adjective,Property,4,2.1544346900318843,0.1,0.9291005291005291
Elastic Net,adjective,Property,4,2.1544346900318843,0.3,0.8973999856352798
Elastic Net,adjective,Property,4,2.1544346900318843,0.5,0.9075100687040987
Elastic Net,adjective,Property,4,2.1544346900318843,0.7,0.9259259259259259
Elastic Net,adjective,Property,4,2.1544346900318843,0.9,0.9719258843346434
Elastic Net,adjective,Property,4,7.742636826811277,0.1,0.9291005291005291
Elastic Net,adjective,Property,4,7.742636826811277,0.3,0.9291005291005291
Elastic Net,adjective,Property,4,7.742636826811277,0.5,0.9075100687040987
Elastic Net,adjective,Property,4,7.742636826811277,0.7,0.9259259259259259
Elastic Net,adjective,Property,4,7.742636826811277,0.9,0.9259259259259259
Elastic Net,adjective,Property,4,27.825594022071257,0.1,0.9291005291005291
Elastic Net,adjective,Property,4,27.825594022071257,0.3,0.9291005291005291
Elastic Net,adjective,Property,4,27.825594022071257,0.5,0.9075100687040987
Elastic Net,adjective,Property,4,27.825594022071257,0.7,0.9259259259259259
Elastic Net,adjective,Property,4,27.825594022071257,0.9,0.9259259259259259
Elastic Net,adjective,Property,4,100.0,0.1,0.9291005291005291
Elastic Net,adjective,Property,4,100.0,0.3,0.9291005291005291
Elastic Net,adjective,Property,4,100.0,0.5,0.9075100687040987
Elastic Net,adjective,Property,4,100.0,0.7,0.9259259259259259
Elastic Net,adjective,Property,4,100.0,0.9,0.9259259259259259
Elastic Net,adjective,Property,5,0.001,0.1,0.2987012987012987
