feature,mutual_information
landmark_x_scene,0.09303240768567611
face_x_attention,0.0929809645533417
body_x_harm,0.09280704230383274
face_x_near,0.09271188972263378
self_sq,0.09270585881388427
face_x_drive,0.092648899735841
speech_x_near,0.09258269329461721
motion_x_duration,0.09250103756172523
small_x_face,0.09242813923037141
landmark_x_attention,0.09242419637301413
pattern_x_speech,0.0923010304836065
complexity_x_weight,0.09227236839959518
temperature_x_texture,0.09223662328429372
slow_x_speech,0.0921932576171296
face_x_sad,0.0920059580901369
away_x_drive,0.09185901081644277
shape_x_drive,0.09185511577551364
fast_x_consequential,0.09184084790571556
upperlimb_x_practice,0.09184081117062637
body_x_surprised,0.09181845271905886
large_x_near,0.09171324981939821
complexity_x_scene,0.09162393175950001
near,0.09155439215082106
pain_x_human,0.09150464723178398
short_x_happy,0.09150204235981074
body_x_time,0.09149566048481406
landmark_x_caused,0.09116684060288227
complexity_x_upperlimb,0.09110826690220364
color_x_pattern,0.09101497810634562
music_x_human,0.09076974591173781
face_x_landmark,0.09058773320578095
fast_x_body,0.09057974569479588
slow_x_number,0.09039779797276837
fast_x_duration,0.09026970732775785
consequential_x_benefit,0.0902216579220474
body_x_lowerlimb,0.09012243682939536
large_x_body,0.09011112204735316
body_x_sad,0.08998973037059943
short_x_cognition,0.08993198871654107
face_x_lowerlimb,0.08988698782394322
body_x_upperlimb,0.08987440841199468
motion_x_biomotion,0.0895194827562873
