feature,anova_f,anova_pvalue,mutual_information,max_abs_class_mean_contrast,rank_anova,rank_mi,rank_class_contrast,combined_rank
away_x_short,41.450683096353785,3.5853302633094026e-17,0.08819329191676584,1.0852927623845152,92.0,388.0,90.0,190.0
shape,25.94906427654204,2.329183867037395e-11,0.12762515687850562,0.7270383420349205,188.0,115.0,278.0,193.66666666666666
slow_x_communication,23.653037073380688,1.8203182279882581e-10,0.1140737179175042,0.8654808746203362,215.0,179.0,193.0,195.66666666666666
body,16.55472597196343,1.1931127590939998e-07,0.193733703270077,0.7362289812719089,299.0,26.0,267.0,197.33333333333334
complexity_x_human,16.241358818082354,1.5959729087626958e-07,0.21816058451854103,0.7275912468829057,309.0,16.0,277.0,200.66666666666666
caused_x_self,37.757806588916786,8.061231050369095e-16,0.08574266427012112,1.0664014878975698,102.0,412.0,95.0,203.0
toward_x_consequential,22.244227094441868,6.491617100607895e-10,0.11488602644411605,0.8150324141074295,227.0,172.0,218.0,205.66666666666666
biomotion_x_upperlimb,29.076436234405477,1.4610914084873547e-12,0.0967320179035338,0.9192116552289277,157.0,299.0,162.0,206.0
away_x_consequential,40.21323733425487,1.012337723811346e-16,0.0845397821666296,1.0702521597500942,96.0,428.0,94.0,206.0
fast_x_body,33.123635569848076,4.279229406521785e-14,0.09057974569479588,0.9892981669871947,129.0,363.0,129.0,207.0
human_x_communication,30.35601340779921,4.754889926295225e-13,0.09313622915392439,0.972056880568728,153.0,330.0,138.0,207.0
shape_sq,24.856321092232065,6.181631759802706e-11,0.13418333822798045,0.691975981165106,196.0,101.0,325.0,207.33333333333334
body_x_near,19.23819419561781,1.0041061809506453e-08,0.12384710400598764,0.7706450929986066,257.0,133.0,237.0,209.0
body_x_time,31.110750794740824,2.459109565703167e-13,0.09149566048481406,0.9761167031285939,147.0,357.0,136.0,213.33333333333334
motion_x_human,18.40300894572814,2.1626447511260436e-08,0.13481341833777494,0.7309772380487842,271.0,100.0,272.0,214.33333333333334
lowerlimb_x_self,36.5521875210552,2.249427067594653e-15,0.08391216493811604,1.0505875504384816,108.0,437.0,99.0,214.66666666666666
communication_x_self,26.315732819549893,1.6803512311569137e-11,0.09707222648011671,0.9118303846324267,185.0,296.0,165.0,215.33333333333334
shape_x_benefit,26.74436291431945,1.1479141117001344e-11,0.10081193350093964,0.8273401601612439,180.0,256.0,212.0,216.0
vision_x_self,25.76331390993435,2.748674093880306e-11,0.09787106077878183,0.9012545858698207,190.0,286.0,173.0,216.33333333333334
path_x_benefit,35.126998082202,7.615529012024413e-15,0.08584467509920546,0.992450168399865,115.0,411.0,124.0,216.66666666666666
slow_x_duration,35.10669416301546,7.749388099884642e-15,0.08423323221815582,1.0330979720979514,117.0,431.0,105.0,217.66666666666666
motion_x_short,26.390049841455397,1.5728437563145552e-11,0.0989439406540511,0.8562375617022318,183.0,275.0,195.0,217.66666666666666
scene_x_short,23.080378962484204,3.049378912817623e-10,0.11526260909096653,0.7343089006653654,216.0,170.0,270.0,218.66666666666666
slow_x_near,27.806113780744912,4.479703647503245e-12,0.09462856466883407,0.8915456662937287,166.0,312.0,179.0,219.0
path_x_long,26.36563094873285,1.607383581209016e-11,0.09536120234863343,0.9058964303463296,184.0,306.0,170.0,220.0
biomotion_x_cognition,32.94218823482826,5.0068609832705926e-14,0.08611936623879735,1.0023431537184404,131.0,408.0,122.0,220.33333333333334
practice_x_benefit,27.628574622827518,5.241516173341648e-12,0.09491980424039825,0.8814444349160797,169.0,308.0,184.0,220.33333333333334
shape_x_weight,22.73148444225037,4.1782131986779865e-10,0.12654135144517475,0.6925531399382937,219.0,120.0,324.0,221.0
vision_x_weight,21.784549426030356,9.845736337470063e-10,0.13891626944655333,0.6767223118969012,231.0,91.0,342.0,221.33333333333334
slow_x_away,24.687035478545234,7.19361703550994e-11,0.09999304206493864,0.8468517771366402,200.0,264.0,201.0,221.66666666666666
touch_x_consequential,37.27067900018034,1.2195917614609596e-15,0.08160069209661036,1.034825250916222,104.0,459.0,104.0,222.33333333333334
vision_sq,17.399920849410815,5.454738500437112e-08,0.13333408712725947,0.7244323361667985,281.0,104.0,283.0,222.66666666666666
biomotion,16.92007903208674,8.503461252197377e-08,0.14151967429777845,0.7111211265875128,292.0,84.0,295.0,223.66666666666666
body_x_social,16.370175276597777,1.4160157596560344e-07,0.1415198081741753,0.7220132642159315,304.0,83.0,286.0,224.33333333333334
head_x_path,35.673929698056796,4.765298097427822e-15,0.08338280624668792,1.007850342641919,114.0,442.0,121.0,225.66666666666666
away_x_caused,30.548649671688086,4.0175925193676153e-13,0.08826555982962758,0.9527490010111374,150.0,386.0,144.0,226.66666666666666
texture_x_human,19.02411329234329,1.2220100294436186e-08,0.11298086722029388,0.7595489890239753,260.0,181.0,243.0,228.0
path_x_away,30.392600097264555,4.605091115499493e-13,0.08678668988823657,0.9514095675428602,152.0,395.0,145.0,230.66666666666666
human_x_cognition,36.265878070766014,2.8722774910714485e-15,0.07990006684989659,1.038551668715457,109.0,482.0,102.0,231.0
duration_x_short,17.164944411852083,6.778718363080858e-08,0.1405807905111236,0.69355391699883,287.0,86.0,323.0,232.0
vision_x_texture,21.439733673160866,1.3464041361662487e-09,0.12560173291345955,0.6723104731667003,233.0,124.0,346.0,234.33333333333334
self_x_drive,27.578216914877803,5.480405835927396e-12,0.08834462425283451,0.9286227728510563,171.0,384.0,156.0,237.0
near_x_long,20.01062803718875,4.950813817549576e-09,0.11089842639902003,0.7292673364899674,247.0,191.0,275.0,237.66666666666666
biomotion_x_drive,20.70512657635231,2.6268103717549354e-09,0.10192247936084042,0.7891171934482497,238.0,251.0,226.0,238.33333333333334
upperlimb_x_long,24.544938724389265,8.170574451686107e-11,0.09602615868923947,0.8204358298231816,203.0,304.0,215.0,240.66666666666666
body_x_drive,17.064722364009604,7.437537675083686e-08,0.11698592355379511,0.7285593842209248,289.0,159.0,276.0,241.33333333333334
human_sq,14.192348992219618,1.0800409962932175e-06,0.22282526839647732,0.6675128534703916,366.0,15.0,352.0,244.33333333333334
upperlimb_x_duration,32.10077371677776,1.0386887681757364e-13,0.0818177902105599,0.9603508193357849,136.0,457.0,142.0,245.0
fast_x_landmark,19.116785896990596,1.1223854659888662e-08,0.10529535142974833,0.7442678147883984,259.0,223.0,258.0,246.66666666666666
landmark_x_away,22.261782764761758,6.389270868473776e-10,0.09658383711416807,0.8180395672343791,225.0,301.0,217.0,247.66666666666666
short_x_needs,27.624490622258552,5.260494003032611e-12,0.08659936616901298,0.8892742955437589,170.0,399.0,180.0,249.66666666666666
body_x_upperlimb,24.69707223093128,7.129222618339326e-11,0.08987440841199468,0.8705189423701153,198.0,372.0,190.0,253.33333333333334
away_x_cognition,45.72382782043643,1.0340860757964092e-18,0.07058768858021014,1.1569894311424964,82.0,607.0,74.0,254.33333333333334
temperature_x_human,27.80359011463735,4.4897119924116945e-12,0.08333821226496418,0.9313880715642742,167.0,443.0,154.0,254.66666666666666
shape_x_complexity,19.91339787224192,5.410993803761938e-09,0.12619522296377017,0.6343914304643816,248.0,122.0,403.0,257.6666666666667
near_x_away,16.279476278526445,1.5404513750464603e-07,0.12559912688133013,0.6727354404231143,308.0,125.0,345.0,259.3333333333333
self_x_arousal,35.885828578330376,3.974894385679997e-15,0.07305898788711707,1.0435701556458665,113.0,568.0,100.0,260.3333333333333
shape_x_pleasant,24.283044784107474,1.0334057633859003e-10,0.10022936376643399,0.6960244624222827,207.0,263.0,317.0,262.3333333333333
color_x_weight,19.56457061335951,7.4455145126923595e-09,0.13273811604334695,0.6183692113269795,255.0,105.0,428.0,262.6666666666667
human_x_benefit,16.84810148031958,9.089799450532903e-08,0.10672291576395843,0.7236443614026326,293.0,212.0,284.0,263.0
vision_x_color,15.326859617343011,3.7387569951915425e-07,0.1172096410860024,0.709912020320523,335.0,158.0,297.0,263.3333333333333
biomotion_x_communication,17.222527385262865,6.427048770302115e-08,0.10239972374110384,0.7429934611264984,286.0,245.0,261.0,264.0
motion_x_body,14.311299766192858,9.661120354956406e-07,0.16273953360599225,0.6493833517909545,365.0,47.0,381.0,264.3333333333333
vision_x_pattern,16.824716601460707,9.288907592265712e-08,0.13772936742153874,0.6299073966670979,295.0,94.0,408.0,265.6666666666667
short_x_arousal,20.067301163034447,4.70094067124941e-09,0.10204071171448525,0.7042953915078718,245.0,249.0,303.0,265.6666666666667
color,14.337861253945462,9.423678974662473e-07,0.12891971456654994,0.690319691559314,364.0,112.0,327.0,267.6666666666667
upperlimb_x_caused,31.61684047160296,1.5821721143093647e-13,0.07759201620874379,0.9449198234059206,141.0,516.0,150.0,269.0
practice_x_time,38.77758083170517,3.397060868081197e-16,0.06878172280677997,1.0796250559431793,99.0,626.0,91.0,272.0
upperlimb_x_consequential,38.21381619402796,5.475095762641629e-16,0.07060039623966663,1.022570816565532,100.0,606.0,111.0,272.3333333333333
biomotion_x_long,27.45610770190437,6.1061042017178486e-12,0.07968245173006228,0.9200603161950777,173.0,486.0,161.0,273.3333333333333
practice_x_toward,19.86929534210557,5.633665995218312e-09,0.09398655796006761,0.7539269590344907,251.0,320.0,250.0,273.6666666666667
texture_x_weight,18.3973937448614,2.1738496449754962e-08,0.114302769314095,0.6529270977033877,273.0,176.0,374.0,274.3333333333333
short_x_cognition,21.322346005219913,1.497944310637249e-09,0.08993198871654107,0.7987663117767307,234.0,370.0,224.0,276.0
near_x_attention,18.477521820920764,2.0193360519792597e-08,0.0998781281529193,0.700044836310282,267.0,265.0,308.0,280.0
near_x_surprised,29.748455271122676,8.09669114184996e-13,0.07850497992014738,0.8846710041060789,156.0,503.0,182.0,280.3333333333333
