model,class_display,feature,coefficient,abs_coefficient
Elastic Net,Action,head,0.3093850838402023,0.3093850838402023
Elastic Net,Action,body,0.3001706923966812,0.3001706923966812
Elastic Net,Action,unpleasant,0.2789360671781489,0.2789360671781489
Elastic Net,Action,near,0.2708327034572004,0.2708327034572004
Elastic Net,Action,drive,-0.250620356494967,0.250620356494967
Elastic Net,Action,happy,-0.2461780117394044,0.2461780117394044
Elastic Net,Action,sad,-0.2351906260302436,0.2351906260302436
Elastic Net,Action,lowerlimb,-0.2251598024376313,0.2251598024376313
Elastic Net,Action,upperlimb,0.2166929285728306,0.2166929285728306
Elastic Net,Action,bright,-0.201384691517256,0.201384691517256
Elastic Net,Action,benefit,-0.1984797326717096,0.1984797326717096
Elastic Net,Action,pain,-0.1918971255971882,0.1918971255971882
Elastic Net,Action,fearful,-0.1783448287725831,0.1783448287725831
Elastic Net,Action,taste,0.1773026615880478,0.1773026615880478
Elastic Net,Action,duration,0.1772866174266584,0.1772866174266584
Elastic Net,Action,large,0.1731402915901899,0.1731402915901899
Elastic Net,Action,attention,0.1707793011029638,0.1707793011029638
Elastic Net,Action,shape,-0.1693153221430243,0.1693153221430243
Elastic Net,Action,color,-0.1546717329526606,0.1546717329526606
Elastic Net,Action,angry,0.1425151288580869,0.1425151288580869
Elastic Net,Action,needs,-0.1224062252663272,0.1224062252663272
Elastic Net,Action,weight,-0.1155133699051698,0.1155133699051698
Elastic Net,Action,temperature,-0.1047980669471725,0.1047980669471725
Elastic Net,Action,pleasant,-0.0978900546478712,0.0978900546478712
